date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,5.833,7.5,1.667,,4.667,37.125
2011-01-02,3.958,5.417,1.458,,3.75,13.625
2011-01-03,6.042,8.0,1.958,,5.083,29.125
2011-01-04,2.667,3.958,1.292,,4.958,16.375
2011-01-05,6.458,9.042,2.583,,5.292,13.5
2011-01-06,8.417,12.292,3.875,,3.208,13.167
2011-01-07,10.167,18.667,8.5,,3.125,19.125
2011-01-08,6.958,10.125,3.167,,3.25,15.542
2011-01-09,6.375,8.458,2.083,,4.458,28.833
2011-01-10,13.083,22.042,8.958,,5.458,53.75
2011-01-11,4.625,6.125,1.5,,5.167,25.833
2011-01-12,9.625,13.917,4.292,,3.708,12.917
2011-01-13,8.13,11.0,2.87,,6.667,21.667
2011-01-14,9.625,14.75,5.125,,4.875,37.75
2011-01-15,4.458,5.5,1.042,,4.417,16.083
2011-01-16,3.542,4.667,1.125,,5.583,9.583
2011-01-17,6.042,8.5,2.458,,2.417,8.292
2011-01-18,12.5,22.208,9.708,,3.458,14.417
2011-01-19,11.25,15.25,4.0,,3.958,19.042
2011-01-20,6.913,9.087,2.174,,2.696,11.217
2011-01-21,4.542,6.333,1.792,,3.25,8.292
2011-01-22,4.75,6.625,1.875,,2.542,10.25
2011-01-23,3.792,5.542,1.75,,4.417,7.875
2011-01-24,3.083,4.667,1.583,,6.125,15.042
2011-01-25,3.917,5.667,1.75,,6.75,20.917
2011-01-26,4.708,6.625,1.917,,3.708,8.0
2011-01-27,9.75,15.875,6.125,,3.0,15.261
2011-01-28,4.583,5.75,1.167,,5.417,31.75
2011-01-29,2.042,3.042,1.0,,6.292,22.375
2011-01-30,5.542,7.458,1.917,,5.708,20.292
2011-01-31,7.333,10.25,2.917,,6.292,18.75
2011-02-01,5.083,6.667,1.583,,5.208,31.667
2011-02-02,2.167,3.833,1.667,,3.958,8.333
2011-02-03,11.0,16.167,5.167,,2.792,12.208
2011-02-04,6.417,8.458,2.042,,3.583,15.875
2011-02-05,5.667,7.333,1.667,,4.667,29.333
2011-02-06,11.208,15.875,4.667,,4.458,33.208
2011-02-07,4.208,5.5,1.292,,4.625,14.917
2011-02-08,2.25,3.5,1.25,,5.208,8.833
2011-02-09,3.958,5.917,1.958,,4.739,11.913
2011-02-10,7.292,10.75,3.458,,4.458,12.208
2011-02-11,6.458,9.5,3.042,,3.208,8.917
2011-02-12,4.792,6.0,1.208,,3.125,9.583
2011-02-13,10.792,13.917,3.125,,5.5,21.583
2011-02-14,13.545,21.455,7.909,,3.304,10.957
2011-02-15,8.542,10.208,1.667,,2.542,20.625
2011-02-16,5.375,7.458,2.083,,4.042,18.333
2011-02-17,2.75,4.0,1.25,,4.5,13.5
2011-02-18,2.375,3.5,1.125,,2.083,12.5
2011-02-19,2.583,3.708,1.125,,2.042,10.917
2011-02-20,7.667,12.375,4.708,,2.417,10.167
2011-02-21,9.0,13.826,4.5,,2.958,16.333
2011-02-22,10.083,13.625,3.542,,4.783,18.87
2011-02-23,6.042,8.292,2.25,,3.167,15.917
2011-02-24,3.833,5.042,1.208,,8.667,38.25
2011-02-25,4.708,6.125,1.417,,4.833,33.042
2011-02-26,3.792,5.0,1.208,,3.0,10.5
2011-02-27,5.583,9.458,3.875,,3.083,9.292
2011-02-28,4.792,6.167,1.375,,4.125,12.375
2011-03-01,10.875,13.833,2.958,,5.75,14.75
2011-03-02,5.208,6.667,1.458,,2.917,10.333
2011-03-03,2.292,3.292,1.0,,3.667,10.333
2011-03-04,4.0,5.125,1.125,,4.833,19.75
2011-03-05,10.375,13.917,3.542,,3.417,12.5
2011-03-06,6.417,7.958,1.542,,2.917,19.333
2011-03-07,6.125,7.833,1.708,,4.75,44.208
2011-03-08,6.583,8.167,1.583,,4.913,47.13
2011-03-09,3.958,5.167,1.208,,4.542,30.167
2011-03-10,1.792,2.792,1.0,,3.833,14.917
2011-03-11,2.792,3.958,1.167,,6.792,28.583
2011-03-12,2.083,3.167,1.083,,4.75,8.667
2011-03-13,6.042,8.167,2.125,,3.25,11.542
2011-03-14,5.958,8.042,2.083,,3.833,14.042
2011-03-15,7.542,10.667,3.125,,6.13,37.217
2011-03-16,6.333,8.458,2.125,,4.583,35.875
2011-03-17,6.125,7.625,1.5,,2.458,24.292
2011-03-18,3.667,4.875,1.208,,2.5,23.667
2011-03-19,5.417,8.708,3.292,,2.792,23.167
2011-03-20,5.958,9.875,3.917,,3.042,16.667
2011-03-21,5.917,8.958,3.042,,3.708,15.833
2011-03-22,6.25,9.333,3.083,,5.542,16.167
2011-03-23,2.958,4.083,1.125,,2.458,11.542
2011-03-24,1.957,3.087,1.13,,6.304,35.13
2011-03-25,1.333,2.625,1.292,,4.25,14.833
2011-03-26,2.75,4.458,1.708,,4.042,10.917
2011-03-27,4.167,6.292,2.125,,3.417,14.417
2011-03-28,4.042,6.0,1.958,,5.083,31.292
2011-03-29,4.125,6.5,2.375,,6.25,29.958
2011-03-30,2.125,3.583,1.458,,10.458,25.208
2011-03-31,1.917,3.208,1.292,,4.792,18.458
2011-04-01,4.208,5.833,1.625,,5.625,40.542
2011-04-02,3.042,4.375,1.333,,5.167,27.792
2011-04-03,2.083,3.125,1.042,,5.375,22.75
2011-04-04,1.958,2.958,1.0,,4.5,10.417
2011-04-05,3.542,5.292,1.75,,6.417,12.708
2011-04-06,3.667,5.167,1.5,,5.167,9.5
2011-04-07,2.125,3.167,1.042,,5.458,13.458
2011-04-08,2.667,3.75,1.083,,4.458,13.167
2011-04-09,2.667,3.75,1.083,,4.364,19.818
2011-04-10,2.292,3.292,1.0,,5.083,18.708
2011-04-11,2.708,3.917,1.208,,4.667,29.458
2011-04-12,2.917,4.25,1.333,,4.167,20.0
2011-04-13,2.667,3.917,1.25,,5.083,15.958
2011-04-14,2.304,3.565,1.261,,3.864,21.667
2011-04-15,2.083,3.208,1.125,,4.125,
2011-04-16,1.708,2.708,1.0,,5.667,
2011-04-17,1.75,2.792,1.042,,6.125,
2011-04-18,1.292,2.292,1.0,,4.5,23.5
2011-04-19,1.917,2.917,1.0,,3.542,7.25
2011-04-20,2.75,4.125,1.375,,3.458,11.625
2011-04-21,3.167,4.583,1.417,,4.083,19.125
2011-04-22,2.083,3.125,1.042,,4.522,13.696
2011-04-23,1.542,2.625,1.083,,3.208,14.0
2011-04-24,1.917,2.917,1.0,,3.208,21.333
2011-04-25,2.167,3.25,1.083,,4.333,23.333
2011-04-26,1.792,2.917,1.125,,3.333,18.833
2011-04-27,1.833,2.833,1.0,,3.917,18.958
