date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,0.625,0.708,0.083,,0.417,
2011-01-02,0.792,0.792,0.0,,1.0,
2011-01-03,0.625,0.625,0.0,,0.542,
2011-01-04,0.792,0.792,0.0,,0.5,
2011-01-05,1.833,2.417,0.583,,0.458,
2011-01-06,2.733,3.933,1.2,,0.522,
2011-01-07,,,,,1.25,
2011-01-08,,,,,0.5,
2011-01-09,,,,,0.917,
2011-01-10,8.667,13.667,5.0,,1.542,
2011-01-11,6.875,12.542,5.667,,1.522,
2011-01-12,6.625,10.292,3.667,,1.583,
2011-01-13,6.5,10.864,4.364,,1.667,
2011-01-14,7.458,11.625,4.167,,2.292,
2011-01-15,6.208,8.0,1.792,,1.417,
2011-01-16,6.75,15.083,8.333,,0.292,
2011-01-17,6.792,12.458,5.667,,2.0,
2011-01-18,6.875,15.042,8.167,,2.667,
2011-01-19,12.125,18.667,6.542,,1.833,
2011-01-20,8.955,12.773,3.818,,0.955,
2011-01-21,8.25,12.708,4.458,,2.522,
2011-01-22,4.458,6.083,1.625,,3.625,
2011-01-23,4.75,8.208,3.458,,2.458,
2011-01-24,4.875,9.292,4.417,,0.833,
2011-01-25,5.083,9.208,4.125,,2.958,
2011-01-26,5.591,14.364,8.773,,5.136,
2011-01-27,5.0,6.667,1.667,,4.043,
2011-01-28,8.042,11.333,3.292,,5.417,
2011-01-29,4.333,5.417,1.083,,3.625,
2011-01-30,5.857,9.714,3.857,,8.042,
2011-01-31,6.5,12.083,5.583,,5.667,
2011-02-01,6.833,11.292,4.458,,3.542,
2011-02-02,3.208,6.583,3.375,,2.417,
2011-02-03,2.864,3.909,1.045,,2.682,
2011-02-04,3.667,5.0,1.333,,0.958,
2011-02-05,4.75,5.083,0.333,,0.708,
2011-02-06,6.75,10.458,3.708,,0.0,
2011-02-07,6.167,8.25,2.083,,0.333,
2011-02-08,3.333,5.083,1.75,,0.182,
2011-02-09,4.455,7.773,3.318,,0.286,
2011-02-10,4.458,8.542,4.083,,2.208,
2011-02-11,3.875,5.333,1.458,,3.042,
2011-02-12,3.375,4.25,0.875,,2.0,
2011-02-13,5.625,7.333,1.708,,0.208,
2011-02-14,13.083,22.917,9.833,,2.5,
2011-02-15,9.75,13.458,3.708,,1.25,
2011-02-16,6.458,10.0,3.542,,4.667,
2011-02-17,3.773,6.409,2.636,,1.318,
2011-02-18,3.583,5.625,2.042,,0.208,
2011-02-19,2.458,2.542,0.083,,1.25,
2011-02-20,4.083,6.417,2.333,,2.5,
2011-02-21,7.0,9.833,2.833,,7.042,
2011-02-22,5.125,7.208,2.083,,0.833,
2011-02-23,6.958,9.375,2.417,,4.458,
2011-02-24,6.524,8.286,1.762,,12.0,
2011-02-25,5.125,7.083,1.958,,5.583,
2011-02-26,4.458,5.583,1.125,,1.125,
2011-02-27,5.667,11.0,5.333,,2.25,
2011-02-28,6.792,10.958,4.167,,0.5,
2011-03-01,5.0,7.875,2.875,,0.0,
2011-03-02,8.19,11.429,3.238,,1.0,
2011-03-03,6.25,7.167,0.917,,1.542,
2011-03-04,3.583,3.958,0.375,,0.0,
2011-03-05,11.0,15.458,4.458,,0.458,
2011-03-06,6.958,9.375,2.417,,0.833,
2011-03-07,7.417,9.417,2.0,,2.542,
2011-03-08,5.792,8.125,2.333,,0.208,
2011-03-09,6.0,7.167,1.167,,0.125,
2011-03-10,3.792,5.708,1.917,,0.292,
2011-03-11,2.667,2.667,0.0,,1.583,
2011-03-12,4.375,5.875,1.5,,2.227,
2011-03-13,5.0,6.417,1.417,,10.958,
2011-03-14,4.667,6.417,1.75,,5.75,
2011-03-15,5.542,6.417,0.875,,8.958,
2011-03-16,6.182,7.682,1.5,,3.591,
2011-03-17,3.542,4.708,1.167,,0.167,
2011-03-18,6.0,7.333,1.333,,0.583,
2011-03-19,5.458,7.0,1.542,,2.375,
2011-03-20,5.792,7.625,1.833,,1.542,
2011-03-21,4.417,5.958,1.542,,4.875,
2011-03-22,4.682,7.136,2.455,,8.273,
2011-03-23,4.542,6.292,1.75,,0.75,
2011-03-24,3.667,4.042,0.375,,0.208,
2011-03-25,2.125,2.292,0.167,,0.292,
2011-03-26,3.217,4.435,1.217,,0.417,
2011-03-27,3.042,4.5,1.458,,0.375,
2011-03-28,4.417,5.917,1.5,,0.0,
2011-03-29,4.238,5.476,1.238,,0.286,
2011-03-30,3.708,4.875,1.167,,0.542,
2011-03-31,2.667,2.875,0.208,,0.75,
2011-04-01,5.043,9.13,4.087,,3.545,
2011-04-02,6.0,7.583,1.583,,3.917,
2011-04-03,7.917,9.417,1.5,,5.25,
2011-04-04,6.292,8.083,1.792,,3.875,
2011-04-05,6.5,10.083,3.583,,2.083,
2011-04-06,4.417,6.042,1.625,,0.958,
2011-04-07,3.875,5.75,1.875,,0.708,
2011-04-08,5.583,7.542,1.958,,1.667,
2011-04-09,5.25,6.5,1.25,,1.75,
2011-04-10,4.25,4.833,0.583,,2.417,
2011-04-11,5.333,6.667,1.333,,3.375,
2011-04-12,6.083,7.792,1.708,,2.667,
2011-04-13,5.833,8.125,2.292,,2.417,
2011-04-14,5.0,6.25,1.25,,2.5,
2011-04-15,6.318,9.136,2.818,,1.636,
2011-04-16,8.833,10.333,1.5,,4.583,
2011-04-17,6.0,6.708,0.708,,4.083,
2011-04-18,3.708,4.417,0.708,,1.083,
2011-04-19,3.125,4.417,1.292,,2.292,
2011-04-20,5.083,7.167,2.083,,2.917,
2011-04-21,4.75,6.667,1.917,,2.458,
2011-04-22,5.318,6.955,1.636,,1.227,
2011-04-23,3.042,4.083,1.042,,1.042,
2011-04-24,2.542,3.875,1.333,,0.833,
2011-04-25,4.333,6.792,2.458,,1.125,
2011-04-26,5.083,7.625,2.542,,3.917,
2011-04-27,6.0,8.273,2.273,,2.364,
2011-04-28,5.417,6.875,1.458,,0.227,
2011-04-29,4.542,5.417,0.875,,0.5,
2011-04-30,4.667,6.208,1.542,,0.375,
2011-05-01,5.167,6.25,1.083,,0.917,
2011-05-02,5.083,5.958,0.875,,1.375,
2011-05-03,8.375,9.708,1.333,,1.333,
2011-05-04,4.875,5.958,1.083,,2.208,
2011-05-05,3.792,4.292,0.5,,0.292,
2011-05-06,6.818,8.545,1.727,,0.0,
2011-05-07,5.5,7.333,1.833,,0.25,
2011-05-08,3.917,5.833,1.917,,1.458,
2011-05-09,5.875,8.833,2.958,,1.625,
2011-05-10,3.667,7.25,3.583,,1.083,
2011-05-11,4.625,9.083,4.458,,2.0,
2011-05-12,4.875,8.042,3.167,,1.75,
2011-05-13,3.458,3.917,0.458,,0.667,
2011-05-14,4.0,4.5,0.5,,0.708,
2011-05-15,2.87,2.957,0.087,,1.174,
2011-05-16,5.208,5.583,0.375,,2.417,
2011-05-17,5.125,5.542,0.417,,1.708,
2011-05-18,4.708,5.042,0.333,,1.792,
2011-05-19,3.417,3.75,0.333,,0.75,
2011-05-20,6.083,7.417,1.333,,0.833,
2011-05-21,3.4,6.667,3.267,,0.0,
2011-05-22,1.25,5.542,4.292,,0.625,
2011-05-23,6.571,9.357,2.786,,1.0,
2011-05-24,3.5,5.167,1.667,,0.125,
2011-05-25,5.375,7.292,1.917,,1.167,
2011-05-26,4.292,6.083,1.792,,0.5,
2011-05-27,3.417,4.958,1.542,,0.458,
2011-05-28,10.583,14.333,3.75,,0.625,
2011-05-29,0.75,1.417,0.667,,0.208,
2011-05-30,2.5,3.5,1.0,,2.125,
2011-05-31,2.375,3.792,1.417,,1.417,
2011-06-01,3.125,4.417,1.292,,0.333,
2011-06-02,1.625,2.833,1.208,,0.958,
2011-06-03,2.333,3.625,1.292,,0.458,
2011-06-04,1.208,2.75,1.542,,0.75,
2011-06-05,2.682,3.864,1.182,,0.409,
2011-06-06,2.708,4.208,1.5,,0.542,
2011-06-07,2.75,3.458,0.708,,0.0,
2011-06-08,4.292,5.708,1.417,,0.75,
