date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,85.0,69.5,52.0,3.4166666666666665,3.4166666666666665,0.0,4.541666666666667,,120.0,92.75,67.0
2011-01-02,57.0,50.666666666666664,46.0,2.4782608695652173,2.4782608695652173,0.0,3.7083333333333335,,98.0,81.16666666666667,59.0
2011-01-03,86.0,73.79166666666667,59.0,2.7083333333333335,2.7083333333333335,0.0,4.25,,95.0,66.54166666666667,53.0
2011-01-04,93.0,69.45833333333333,55.0,2.125,2.125,0.0,3.25,,95.0,64.45833333333333,39.0
2011-01-05,57.0,54.708333333333336,53.0,3.75,3.75,0.0,4.583333333333333,,78.0,65.04166666666667,55.0
2011-01-06,66.0,55.916666666666664,46.0,3.5833333333333335,3.8333333333333335,0.25,3.9166666666666665,,107.0,72.625,42.0
2011-01-07,83.0,61.875,39.0,4.0,4.166666666666667,0.16666666666666666,3.75,,114.0,60.458333333333336,11.0
2011-01-08,86.0,67.25,35.0,2.875,3.0,0.125,4.208333333333333,,134.0,67.33333333333333,5.0
2011-01-09,77.0,62.875,48.0,4.625,4.75,0.125,5.125,,126.0,93.54166666666667,55.0
2011-01-10,89.0,62.5,49.0,6.125,6.25,0.125,9.125,,116.0,78.625,20.0
2011-01-11,60.0,54.083333333333336,47.0,4.541666666666667,4.541666666666667,0.0,5.541666666666667,,91.0,82.58333333333333,47.0
2011-01-12,79.0,55.5,41.0,3.875,4.125,0.25,3.625,,101.0,55.916666666666664,-13.0
2011-01-13,83.0,62.291666666666664,51.0,3.7916666666666665,3.7916666666666665,0.0,5.5,,94.0,72.16666666666667,44.0
2011-01-14,75.0,65.0,49.0,3.8333333333333335,3.8333333333333335,0.0,4.434782608695652,,113.0,74.45833333333333,42.0
2011-01-15,87.0,77.875,60.0,4.291666666666667,4.291666666666667,0.0,3.625,,77.0,63.583333333333336,54.0
2011-01-16,89.0,85.875,83.0,4.391304347826087,4.391304347826087,0.0,3.2916666666666665,,80.0,65.0,46.0
2011-01-17,90.0,71.20833333333333,39.0,3.4166666666666665,3.75,0.3333333333333333,5.217391304347826,,138.0,70.125,15.0
2011-01-18,87.0,66.45833333333333,36.0,2.4583333333333335,2.4583333333333335,0.0,3.9166666666666665,,168.0,104.125,47.0
2011-01-19,91.0,89.08333333333333,87.0,3.625,3.625,0.0,4.041666666666667,,134.0,115.79166666666667,99.0
2011-01-20,92.0,80.125,65.0,5.166666666666667,6.333333333333333,1.1666666666666667,3.7916666666666665,,153.0,113.41666666666667,74.0
2011-01-21,91.0,76.33333333333333,55.0,3.5416666666666665,3.8333333333333335,0.2916666666666667,3.8333333333333335,,161.0,108.20833333333333,70.0
2011-01-22,90.0,73.625,58.0,3.25,3.4166666666666665,0.16666666666666666,3.2916666666666665,,134.0,105.66666666666667,77.0
2011-01-23,62.0,55.041666666666664,44.0,2.2916666666666665,2.2916666666666665,0.0,3.25,,92.0,70.45833333333333,48.0
2011-01-24,68.0,53.541666666666664,47.0,2.75,2.7916666666666665,0.041666666666666664,3.8636363636363638,,65.0,49.625,35.0
2011-01-25,85.0,68.625,46.0,3.5416666666666665,3.5833333333333335,0.041666666666666664,4.75,,57.0,35.416666666666664,17.0
2011-01-26,60.0,46.5,39.0,2.5,2.5416666666666665,0.041666666666666664,3.4166666666666665,,74.0,42.708333333333336,11.0
2011-01-27,69.0,51.75,34.0,2.5833333333333335,2.7083333333333335,0.125,3.7083333333333335,,110.0,64.5,8.0
2011-01-28,84.0,63.458333333333336,45.0,3.125,3.1666666666666665,0.041666666666666664,3.4583333333333335,,108.0,80.91666666666667,64.0
2011-01-29,85.0,60.041666666666664,33.0,3.0,3.0833333333333335,0.08333333333333333,4.125,,133.0,80.83333333333333,30.0
2011-01-30,63.0,48.833333333333336,36.0,4.695652173913044,5.0,0.30434782608695654,6.166666666666667,,116.0,74.54166666666667,35.0
2011-01-31,73.0,46.625,29.0,4.166666666666667,4.333333333333333,0.16666666666666666,5.5,,103.0,51.333333333333336,5.0
2011-02-01,79.0,64.54166666666667,46.0,2.0833333333333335,2.0833333333333335,0.0,3.8333333333333335,,131.0,82.375,22.0
2011-02-02,84.0,61.708333333333336,44.0,1.625,1.625,0.0,3.0416666666666665,,54.0,28.583333333333332,-14.0
2011-02-03,75.0,61.541666666666664,53.0,4.5,4.666666666666667,0.16666666666666666,3.75,,44.0,16.5,-11.0
2011-02-04,81.0,63.416666666666664,45.0,3.1666666666666665,3.2916666666666665,0.125,4.041666666666667,,100.0,52.416666666666664,3.0
2011-02-05,89.0,75.45833333333333,53.0,2.625,2.625,0.0,4.0,,111.0,80.08333333333333,12.0
2011-02-06,92.0,81.95833333333333,58.0,1.6666666666666667,1.6666666666666667,0.0,3.375,,185.0,149.83333333333334,110.0
2011-02-07,93.0,70.25,56.0,2.375,2.375,0.0,3.4166666666666665,,177.0,102.375,61.0
2011-02-08,84.0,68.29166666666667,56.0,1.7083333333333333,1.7083333333333333,0.0,2.6956521739130435,,54.0,34.708333333333336,15.0
2011-02-09,82.0,60.541666666666664,50.0,2.7083333333333335,2.7916666666666665,0.08333333333333333,3.2916666666666665,,73.0,46.458333333333336,18.0
