date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,194.958,4.333,13.833,7.292,14.5,7.208,,1.583,,208.792
2011-01-02,190.682,3.783,10.0,7.13,12.87,5.739,,1.708,,200.682
2011-01-03,196.25,5.083,18.208,9.208,18.25,9.042,,0.375,,214.458
2011-01-04,191.375,3.583,11.042,7.958,14.833,6.875,,0.833,,202.417
2011-01-05,191.167,4.458,21.542,14.792,30.583,15.792,,1.25,,212.708
2011-01-06,192.958,4.667,19.167,13.667,34.042,20.375,,0.583,,212.125
2011-01-07,197.458,6.5,30.292,14.5,42.958,28.458,,0.875,,227.75
2011-01-08,197.625,5.333,23.042,9.833,22.625,12.792,,1.792,,220.667
2011-01-09,196.818,5.391,21.5,14.0,29.875,15.875,,1.833,,218.318
2011-01-10,200.565,7.583,81.261,15.5,42.667,27.167,,3.375,,281.826
2011-01-11,193.565,4.667,55.913,11.25,22.542,11.292,,2.5,,249.478
2011-01-12,191.75,4.958,26.208,16.833,39.042,22.208,,1.583,,217.958
2011-01-13,195.167,5.25,25.375,15.417,34.625,19.208,,3.833,,220.542
2011-01-14,195.708,6.292,27.417,16.458,34.958,18.5,,3.5,,223.125
2011-01-15,195.708,4.958,22.0,9.792,20.792,11.0,0.0,0.042,,217.708
2011-01-16,191.045,5.435,21.136,15.391,37.478,22.087,5.5,0.0,,212.182
2011-01-17,191.5,4.667,18.708,10.375,28.458,18.083,14.542,0.583,,210.208
2011-01-18,193.824,5.267,25.294,10.25,34.667,24.417,23.087,0.625,,219.118
2011-01-19,189.708,3.208,24.333,15.333,43.25,27.917,19.917,0.0,,214.042
2011-01-20,189.833,2.583,29.375,13.167,38.042,24.875,16.75,0.417,,219.208
2011-01-21,188.917,2.333,20.25,9.458,32.583,23.125,18.583,0.917,,209.167
2011-01-22,189.625,1.292,13.042,4.458,13.208,8.75,14.667,0.083,,202.667
2011-01-23,189.333,0.708,7.0,7.875,17.417,9.542,12.75,0.042,,196.333
